driver,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_teams
angelis,1983,7,detroit,True,False,False,False,False,Italian,team_lotus,4,23,0,0,19,0,0,25,0,0,12,1.524,25,0.0,0
mansell,1983,7,detroit,True,False,False,False,False,British,team_lotus,14,6,0,0,23,0,0,21,0,0,12,3.661,29,,0
cecotto,1983,7,detroit,True,False,False,False,False,Venezuelan,theodore,26,15,1,0,12,1,0,13,1,0,8,6.975,27,,0
guerrero,1983,7,detroit,True,False,False,False,False,Colombian,theodore,11,14,0,0,28,0,0,28,1,0,8,2.967,24,,0
giacomelli,1983,7,detroit,True,False,False,False,False,Italian,toleman,17,9,0,0,18,0,0,23,0,0,10,4.051,30,0.0,0
warwick,1983,7,detroit,True,False,False,False,False,British,toleman,9,21,0,0,15,0,0,17,0,0,10,2.8,28,,0
alboreto,1983,7,detroit,True,False,False,False,False,Italian,tyrrell,6,1,0,0,17,0,0,16,2,0,7,2.279,26,1.0,0
sullivan,1983,7,detroit,True,False,False,False,False,American,tyrrell,16,18,2,0,11,2,0,11,2,0,7,3.9139999999999997,33,,0
keke_rosberg,1983,7,detroit,True,False,False,False,False,Finnish,williams,12,2,16,1,4,14,1,4,24,1,4,2.9939999999999998,34,0.0,0
laffite,1983,7,detroit,True,False,False,False,False,French,williams,20,5,8,0,9,7,0,8,24,1,4,4.511,39,,0
baldi,1983,8,villeneuve,True,False,False,False,False,Italian,alfa,26,10,1,0,14,1,0,13,1,0,10,6.026,29,0.0,0
cesaris,1983,8,villeneuve,True,False,False,False,False,Italian,alfa,8,16,0,0,25,0,0,24,1,0,10,2.444,24,0.0,0
boutsen,1983,8,villeneuve,True,False,False,False,False,Belgian,arrows,15,7,0,0,19,0,0,29,4,0,7,3.847,25,0.0,0
surer,1983,8,villeneuve,True,False,False,False,False,Swiss,arrows,14,25,4,0,11,4,0,10,4,0,7,3.8110000000000004,31,,0
manfred_winkelhock,1983,8,villeneuve,True,False,False,False,False,German,ats,7,9,0,0,24,0,0,22,0,0,13,2.237,31,0.0,0
patrese,1983,8,villeneuve,True,False,False,False,False,Italian,brabham,5,12,0,0,23,0,0,21,27,1,4,0.82,29,0.0,0
piquet,1983,8,villeneuve,True,False,False,False,False,Brazilian,brabham,3,22,27,1,2,24,1,2,27,1,4,0.158,30,0.0,0
arnoux,1983,8,villeneuve,True,False,False,False,False,French,ferrari,1,1,8,0,9,8,0,7,31,1,3,0.0,34,0.333333333,0
tambay,1983,8,villeneuve,True,False,False,False,False,French,ferrari,4,3,23,1,3,23,1,3,31,1,3,0.263,33,0.0,0
boesel,1983,8,villeneuve,True,False,False,False,False,Brazilian,ligier,24,18,0,0,18,0,0,16,0,0,12,5.757000000000001,25,0.0,0
jarier,1983,8,villeneuve,True,False,False,False,False,French,ligier,16,26,0,0,22,0,0,20,0,0,12,3.9130000000000003,36,0.0,0
lauda,1983,8,villeneuve,True,False,False,False,False,Austrian,mclaren,19,23,10,0,6,10,0,6,25,1,5,4.942,34,0.0,0
watson,1983,8,villeneuve,True,False,False,False,False,British,mclaren,20,6,15,1,5,11,1,5,25,1,5,4.976,37,0.0,0
corrado_fabi,1983,8,villeneuve,True,False,False,False,False,Italian,osella,25,20,0,0,29,0,0,27,0,0,15,5.815,22,0.0,0
cheever,1983,8,villeneuve,True,False,False,False,False,American,renault,6,2,8,0,10,8,0,8,36,2,1,1.1340000000000001,25,,0
prost,1983,8,villeneuve,True,False,False,False,False,French,renault,2,5,28,2,1,28,2,1,36,2,1,0.10099999999999999,28,0.0,0
angelis,1983,8,villeneuve,True,False,False,False,False,Italian,team_lotus,11,24,0,0,21,0,0,19,1,0,8,3.093,25,0.0,0
mansell,1983,8,villeneuve,True,False,False,False,False,British,team_lotus,18,15,1,0,15,0,0,23,1,0,8,4.859,29,0.0,0
cecotto,1983,8,villeneuve,True,False,False,False,False,Venezuelan,theodore,23,21,1,0,13,1,0,12,1,0,9,5.585,27,,0
guerrero,1983,8,villeneuve,True,False,False,False,False,Colombian,theodore,21,19,0,0,27,0,0,28,1,0,9,4.992,24,,0
giacomelli,1983,8,villeneuve,True,False,False,False,False,Italian,toleman,10,14,0,0,20,0,0,18,0,0,11,2.8569999999999998,30,0.0,0
warwick,1983,8,villeneuve,True,False,False,False,False,British,toleman,12,13,0,0,17,0,0,15,0,0,11,3.387,28,0.0,0
alboreto,1983,8,villeneuve,True,False,False,False,False,Italian,tyrrell,17,8,9,1,8,0,0,17,11,1,6,4.446000000000001,26,0.0,0
sullivan,1983,8,villeneuve,True,False,False,False,False,American,tyrrell,22,11,2,0,12,2,0,11,11,1,6,5.062,33,,0
keke_rosberg,1983,8,villeneuve,True,False,False,False,False,Finnish,williams,9,4,22,1,4,16,1,4,32,1,2,2.7510000000000003,34,0.0,0
laffite,1983,8,villeneuve,True,False,False,False,False,French,williams,13,17,10,0,7,8,0,9,32,1,2,3.4560000000000004,39,0.0,0
