season,circuit_id,level_2,podium
2002,monza,grid,0.15338345864661654
1969,monaco,grid,0.15294117647058825
1965,nurburgring,grid,0.15221486419431463
1982,dijon,grid,0.15218715444843495
1994,catalunya,grid,0.15079365079365079
1987,monza,grid,0.15077714191807443
1973,zolder,grid,0.15019762845849802
1999,villeneuve,grid,0.14963297571993225
2005,spa,grid,0.14887218045112782
1975,silverstone,grid,0.1484518503636431
1968,watkins_glen,grid,0.1476085587417965
1955,monza,grid,0.14525691699604742
1956,indianapolis,grid,0.14447666635694073
2005,indianapolis,grid,0.14285714285714285
1975,anderstorp,grid,0.14256410256410257
1980,watkins_glen,grid,0.14088551246101458
1958,monza,grid,0.13996743446495033
2005,imola,grid,0.13984962406015036
2000,osterreichring,grid,0.13946922642574816
1984,zolder,grid,0.13736263736263737
1958,reims,grid,0.13570126651950026
1970,kyalami,grid,0.1324110671936759
1973,kyalami,grid,0.13
1993,hungaroring,grid,0.12957264957264958
2019,interlagos,grid,0.1293233082706767
2001,interlagos,grid,0.1293054771315641
1988,imola,grid,0.12928959321335465
1984,hockenheimring,grid,0.1288156288156288
1967,rodriguez,grid,0.12704178862030566
1983,villeneuve,grid,0.1265204902018211
2006,monaco,grid,0.12478825522303783
1982,ricard,grid,0.12305561993355299
1960,boavista,grid,0.12142857142857143
1972,jarama,grid,0.11726495726495727
1960,indianapolis,grid,0.11521550373147146
1990,hockenheimring,grid,0.11407905283531287
1994,silverstone,grid,0.11328958926568301
1978,zandvoort,grid,0.11085257457330398
1971,ricard,grid,0.10968379446640317
1979,hockenheimring,grid,0.10686478926563724
1999,imola,grid,0.1067193675889328
1991,adelaide,grid,0.10670424537929266
1958,zandvoort,grid,0.10629514963880289
2012,spa,grid,0.10347826086956521
1980,zolder,grid,0.10300034844253951
1990,interlagos,grid,0.10163406525327875
1959,sebring,grid,0.1002117288069765
